"","blog.txt","news.txt","twitter.txt"
"brave enough",4,1,4
"break away",3,1,3
"break law",1,1,1
"breakfast served",1,1,1
"breaking news",2,1,25
"breaking point",1,1,3
"breaks heart",7,1,6
"breast cancer",15,6,11
"brew house",1,1,1
"brewery s",9,1,2
"brian wilson",1,1,2
"brick road",1,1,1
"brick wall",5,1,5
"bride s",1,1,2
"bright blue",2,1,2
"bright green",3,1,1
"bright idea",2,1,2
"bring back",14,1,35
"bring different",1,1,1
"bring home",8,2,12
"bring new",7,2,4
"bring people",1,1,1
"bring us",8,1,4
"bringing back",9,2,10
"brings back",6,1,9
"brings home",1,1,1
"brings together",1,1,2
"britain s",11,1,3
"broadway show",1,1,5
"broccoli rabe",1,1,1
"brother law",17,1,6
"brother s",10,1,18
"brother sister",7,2,3
"brought back",11,2,6
"brought first",2,1,1
"brought home",16,1,2
"brought two",2,1,1
"brown like",1,1,1
"brown new",1,1,1
"brown one",3,1,1
"brown s",3,5,5
"bruce springsteen",1,2,1
"brush teeth",1,1,2
"bryce harper",2,1,11
"bud light",2,2,9
"budget cuts",3,4,1
"budget deficit",2,3,1
"buffalo bills",2,1,1
"buffalo s",1,1,1
"build another",1,1,1
"build new",4,5,1
"building new",6,3,4
"building s",5,4,1
"bull s",3,1,1
"bulletin board",5,1,5
"bunch people",4,1,7
"bunch stuff",1,1,2
"burger joint",1,1,1
"bus driver",3,1,6
"bus station",1,1,1
"bus tour",2,2,3
